Microcolony,Bee_ID,Start_date,First_egg_date,Date_dead,Days_survived,Days_survived_all,Treatment,Treatment_old,Count,MCL,Colony_ID,Dead,Dead_before_day36,Days_till_eggs,Notes,Diet,Infection
1,140,6/26/17,7/5/17,8/2/17,37,37,K-U,K-U,NA,NA,11,1,0,9,NA,Wildflower,Uninfected
1,17,6/26/17,7/5/17,8/9/17,37,44,K-U,K-U,0,2.7,11,0,0,9,NA,Wildflower,Uninfected
2,18,6/26/17,7/6/17,8/10/17,37,45,K-I,K-I,16,2.1,11,0,0,10,NA,Wildflower,Infected
2,19,6/26/17,7/6/17,8/10/17,37,45,K-I,K-I,22,2.2,11,0,0,10,NA,Wildflower,Infected
3,5,6/26/17,7/3/17,8/7/17,37,42,50-U,50-U,0,2.6,11,0,0,7,NA,50% Sunflower,Uninfected
3,6,6/26/17,7/3/17,8/7/17,37,42,50-U,50-U,0,2.35,11,0,0,7,NA,50% Sunflower,Uninfected
3,7,6/26/17,7/3/17,8/7/17,37,42,50-U,50-U,0,2.8,11,0,0,7,NA,50% Sunflower,Uninfected
3,8,6/26/17,7/3/17,8/7/17,37,42,50-U,50-U,0,2.7,11,0,0,7,NA,50% Sunflower,Uninfected
5,9,6/26/17,7/4/17,8/8/17,37,43,K-I,K-U,50,2.65,10,0,0,8,NA,Wildflower,Infected
5,10,6/26/17,7/4/17,8/8/17,37,43,K-I,K-U,7,2.7,10,0,0,8,NA,Wildflower,Infected
5,11,6/26/17,7/4/17,8/8/17,37,43,K-I,K-U,14,2.2,10,0,0,8,NA,Wildflower,Infected
5,12,6/26/17,7/4/17,8/8/17,37,43,K-I,K-U,47,2.9,10,0,0,8,NA,Wildflower,Infected
9,20,6/26/17,7/6/17,8/10/17,37,45,K-U,K-U,0,2.7,9,0,0,10,NA,Wildflower,Uninfected
9,21,6/26/17,7/6/17,8/10/17,37,45,K-U,K-U,0,2.5,9,0,0,10,NA,Wildflower,Uninfected
9,22,6/26/17,7/6/17,8/10/17,37,45,K-U,K-U,0,2.1,9,0,0,10,NA,Wildflower,Uninfected
9,23,6/26/17,7/6/17,8/10/17,37,45,K-U,K-U,0,2.6,9,0,0,10,NA,Wildflower,Uninfected
10,1,6/26/17,6/29/17,8/3/17,37,38,K-I,K-I,130,2.7,9,0,0,3,NA,Wildflower,Infected
10,2,6/26/17,6/29/17,8/3/17,37,38,K-I,K-I,75,2.5,9,0,0,3,NA,Wildflower,Infected
10,3,6/26/17,6/29/17,8/3/17,37,38,K-I,K-I,229,2.5,9,0,0,3,NA,Wildflower,Infected
10,4,6/26/17,6/29/17,8/3/17,37,38,K-I,K-I,433,2.7,9,0,0,3,NA,Wildflower,Infected
11,13,6/26/17,7/4/17,8/8/17,37,43,50-U,50-U,0,2.4,9,0,0,8,NA,50% Sunflower,Uninfected
11,14,6/26/17,7/4/17,8/8/17,37,43,50-U,50-U,0,2.7,9,0,0,8,NA,50% Sunflower,Uninfected
11,15,6/26/17,7/4/17,8/8/17,37,43,50-U,50-U,0,2.45,9,0,0,8,NA,50% Sunflower,Uninfected
11,16,6/26/17,7/4/17,8/8/17,37,43,50-U,50-U,0,2.6,9,0,0,8,NA,50% Sunflower,Uninfected
12,47,7/10/17,7/19/17,8/23/17,37,44,50-I,50-I,49,2.8,10,0,0,9,NA,50% Sunflower,Infected
12,48,7/10/17,7/19/17,8/23/17,37,44,50-I,50-I,40,2.9,10,0,0,9,NA,50% Sunflower,Infected
12,49,7/10/17,7/19/17,8/23/17,37,44,50-I,50-I,138,2.85,10,0,0,9,NA,50% Sunflower,Infected
12,50,7/10/17,7/19/17,8/23/17,37,44,50-I,50-I,161,2.65,10,0,0,9,NA,50% Sunflower,Infected
13,28,7/10/17,7/16/17,8/20/17,37,41,K-I,K-U,42,2.9,10,0,0,6,NA,Wildflower,Infected
13,29,7/10/17,7/16/17,8/20/17,37,41,K-I,K-U,49,2.8,10,0,0,6,NA,Wildflower,Infected
13,30,7/10/17,7/16/17,8/20/17,37,41,K-I,K-U,29,2.85,10,0,0,6,NA,Wildflower,Infected
13,31,7/10/17,7/16/17,8/20/17,37,41,K-I,K-U,31,2.65,10,0,0,6,NA,Wildflower,Infected
13,32,7/10/17,7/16/17,8/20/17,37,41,K-I,K-U,31,3,10,0,0,6,NA,Wildflower,Infected
14,40,7/10/17,7/18/17,8/22/17,37,43,K-I,K-I,23,2.95,10,0,0,8,NA,Wildflower,Infected
14,41,7/10/17,7/18/17,8/22/17,37,43,K-I,K-I,5,2.3,10,0,0,8,NA,Wildflower,Infected
15,37,7/10/17,7/16/17,8/17/17,37,38,50-I,50-U,NA,NA,10,1,0,6,NA,50% Sunflower,Infected
15,33,7/10/17,7/16/17,8/20/17,37,41,50-I,50-U,72,3.05,10,0,0,6,NA,50% Sunflower,Infected
15,34,7/10/17,7/16/17,8/20/17,37,41,50-I,50-U,20,2.4,10,0,0,6,NA,50% Sunflower,Infected
15,35,7/10/17,7/16/17,8/20/17,37,41,50-I,50-U,22,2.8,10,0,0,6,NA,50% Sunflower,Infected
15,36,7/10/17,7/16/17,8/20/17,37,41,50-I,50-U,17,2.45,10,0,0,6,NA,50% Sunflower,Infected
16,102,7/10/17,7/26/17,8/18/17,37,39,50-I,50-I,NA,NA,10,1,0,16,NA,50% Sunflower,Infected
16,103,7/10/17,7/26/17,8/23/17,37,44,50-I,50-I,NA,NA,10,1,0,16,NA,50% Sunflower,Infected
16,99,7/10/17,7/26/17,8/30/17,37,51,50-I,50-I,38,2.6,10,0,0,16,NA,50% Sunflower,Infected
16,100,7/10/17,7/26/17,8/30/17,37,51,50-I,50-I,12,2.3,10,0,0,16,NA,50% Sunflower,Infected
17,74,7/10/17,7/25/17,8/29/17,37,50,K-U,K-U,0,2.55,11,0,0,15,NA,Wildflower,Uninfected
17,75,7/10/17,7/25/17,8/29/17,37,50,K-U,K-U,0,2.8,11,0,0,15,NA,Wildflower,Uninfected
17,76,7/10/17,7/25/17,8/29/17,37,50,K-U,K-U,0,2.75,11,0,0,15,NA,Wildflower,Uninfected
17,77,7/10/17,7/25/17,8/29/17,37,50,K-U,K-U,0,2.8,11,0,0,15,NA,Wildflower,Uninfected
20,38,7/10/17,7/18/17,8/22/17,37,43,50-I,50-I,41,2.25,11,0,0,8,NA,50% Sunflower,Infected
20,39,7/10/17,7/18/17,8/22/17,37,43,50-I,50-I,0,2.35,11,0,0,8,NA,50% Sunflower,Infected
21,42,7/10/17,7/18/17,8/22/17,37,43,K-U,K-U,0,2.2,11,0,0,8,NA,Wildflower,Uninfected
21,43,7/10/17,7/18/17,8/22/17,37,43,K-U,K-U,0,2.75,11,0,0,8,NA,Wildflower,Uninfected
21,44,7/10/17,7/18/17,8/22/17,37,43,K-U,K-U,0,2.5,11,0,0,8,NA,Wildflower,Uninfected
21,45,7/10/17,7/18/17,8/22/17,37,43,K-U,K-U,0,2.7,11,0,0,8,NA,Wildflower,Uninfected
21,46,7/10/17,7/18/17,8/22/17,37,43,K-U,K-U,0,2.35,11,0,0,8,NA,Wildflower,Uninfected
22,24,7/10/17,7/13/17,8/17/17,37,38,K-I,K-I,337,2.6,45,0,0,3,NA,Wildflower,Infected
22,25,7/10/17,7/13/17,8/17/17,37,38,K-I,K-I,19,2.75,45,0,0,3,NA,Wildflower,Infected
22,26,7/10/17,7/13/17,8/17/17,37,38,K-I,K-I,231,2.9,45,0,0,3,NA,Wildflower,Infected
22,27,7/10/17,7/13/17,8/17/17,37,38,K-I,K-I,150,2.5,45,0,0,3,NA,Wildflower,Infected
24,37,7/10/17,7/18/17,8/22/17,37,43,50-I,50-I,112,2.6,45,0,0,8,NA,50% Sunflower,Infected
26,111,7/19/17,7/27/17,8/31/17,37,43,K-I,K-I,59,2.5,10,0,0,8,NA,Wildflower,Infected
26,112,7/19/17,7/27/17,8/31/17,37,43,K-I,K-I,74,2.65,10,0,0,8,NA,Wildflower,Infected
26,113,7/19/17,7/27/17,8/31/17,37,43,K-I,K-I,31,3,10,0,0,8,NA,Wildflower,Infected
26,114,7/19/17,7/27/17,8/31/17,37,43,K-I,K-I,31,3,10,0,0,8,NA,Wildflower,Infected
26,115,7/19/17,7/27/17,8/31/17,37,43,K-I,K-I,33,2.25,10,0,0,8,NA,Wildflower,Infected
27,78,7/19/17,7/25/17,8/29/17,37,41,50-I,50-U,42,2.75,10,0,0,6,NA,50% Sunflower,Infected
27,79,7/19/17,7/25/17,8/29/17,37,41,50-I,50-U,22,2.6,10,0,0,6,NA,50% Sunflower,Infected
27,80,7/19/17,7/25/17,8/29/17,37,41,50-I,50-U,54,2.1,10,0,0,6,NA,50% Sunflower,Infected
27,81,7/19/17,7/25/17,8/29/17,37,41,50-I,50-U,6,3.25,10,0,0,6,NA,50% Sunflower,Infected
27,82,7/19/17,7/25/17,8/29/17,37,41,50-I,50-U,23,2.2,10,0,0,6,NA,50% Sunflower,Infected
28,83,7/19/17,7/25/17,8/29/17,37,41,50-I,50-I,36,2.8,10,0,0,6,NA,50% Sunflower,Infected
28,84,7/19/17,7/25/17,8/29/17,37,41,50-I,50-I,33,2.85,10,0,0,6,NA,50% Sunflower,Infected
28,85,7/19/17,7/25/17,8/29/17,37,41,50-I,50-I,56,3,10,0,0,6,NA,50% Sunflower,Infected
28,86,7/19/17,7/25/17,8/29/17,37,41,50-I,50-I,47,2.7,10,0,0,6,NA,50% Sunflower,Infected
28,87,7/19/17,7/25/17,8/29/17,37,41,50-I,50-I,58,2.95,10,0,0,6,NA,50% Sunflower,Infected
29,88,7/19/17,8/6/17,8/29/17,37,41,K-I,K-U,3,3.05,10,0,0,18,NA,Wildflower,Infected
29,89,7/19/17,8/6/17,8/29/17,37,41,K-I,K-U,42,2.9,10,0,0,18,NA,Wildflower,Infected
29,90,7/19/17,8/6/17,8/29/17,37,41,K-I,K-U,63,2.8,10,0,0,18,NA,Wildflower,Infected
29,91,7/19/17,8/6/17,8/29/17,37,41,K-I,K-U,69,2.5,10,0,0,18,NA,Wildflower,Infected
29,92,7/19/17,8/6/17,8/29/17,37,41,K-I,K-U,40,2.5,10,0,0,18,NA,Wildflower,Infected
30,93,7/19/17,7/25/17,8/29/17,37,41,K-I,K-I,21,2.9,10,0,0,6,NA,Wildflower,Infected
30,94,7/19/17,7/25/17,8/29/17,37,41,K-I,K-I,213,3.2,10,0,0,6,NA,Wildflower,Infected
30,95,7/19/17,7/25/17,8/29/17,37,41,K-I,K-I,69,3.1,10,0,0,6,NA,Wildflower,Infected
30,96,7/19/17,7/25/17,8/29/17,37,41,K-I,K-I,24,2.8,10,0,0,6,NA,Wildflower,Infected
30,97,7/19/17,7/25/17,8/29/17,37,41,K-I,K-I,68,3,10,0,0,6,NA,Wildflower,Infected
31,51,7/19/17,7/22/17,8/26/17,37,38,50-U,50-U,0,2.6,11,0,0,3,NA,50% Sunflower,Uninfected
31,52,7/19/17,7/22/17,8/26/17,37,38,50-U,50-U,0,2.75,11,0,0,3,NA,50% Sunflower,Uninfected
31,53,7/19/17,7/22/17,8/26/17,37,38,50-U,50-U,0,2.7,11,0,0,3,NA,50% Sunflower,Uninfected
31,54,7/19/17,7/22/17,8/26/17,37,38,50-U,50-U,0,2.55,11,0,0,3,NA,50% Sunflower,Uninfected
31,55,7/19/17,7/22/17,8/26/17,37,38,50-U,50-U,0,2.15,11,0,0,3,NA,50% Sunflower,Uninfected
32,106,7/19/17,8/9/17,8/30/17,37,42,50-I,50-I,2,2.6,11,0,0,21,NA,50% Sunflower,Infected
32,107,7/19/17,8/9/17,8/30/17,37,42,50-I,50-I,35,2.85,11,0,0,21,NA,50% Sunflower,Infected
32,108,7/19/17,8/9/17,8/30/17,37,42,50-I,50-I,0,2.8,11,0,0,21,NA,50% Sunflower,Infected
32,109,7/19/17,8/9/17,8/30/17,37,42,50-I,50-I,6,2.7,11,0,0,21,NA,50% Sunflower,Infected
32,110,7/19/17,8/9/17,8/30/17,37,42,50-I,50-I,12,2.3,11,0,0,21,NA,50% Sunflower,Infected
33,101,7/19/17,7/26/17,8/30/17,37,42,K-U,K-U,0,2.3,11,0,0,7,NA,Wildflower,Uninfected
33,102,7/19/17,7/26/17,8/30/17,37,42,K-U,K-U,0,2.75,11,0,0,7,NA,Wildflower,Uninfected
33,103,7/19/17,7/26/17,8/30/17,37,42,K-U,K-U,0,2.8,11,0,0,7,NA,Wildflower,Uninfected
33,104,7/19/17,7/26/17,8/30/17,37,42,K-U,K-U,0,2.65,11,0,0,7,NA,Wildflower,Uninfected
33,105,7/19/17,7/26/17,8/30/17,37,42,K-U,K-U,0,2.45,11,0,0,7,NA,Wildflower,Uninfected
34,67,7/19/17,7/24/17,8/28/17,37,40,K-I,K-I,212,3.1,11,0,0,5,NA,Wildflower,Infected
34,68,7/19/17,7/24/17,8/28/17,37,40,K-I,K-I,36,2.3,11,0,0,5,NA,Wildflower,Infected
34,69,7/19/17,7/24/17,8/28/17,37,40,K-I,K-I,22,2.2,11,0,0,5,NA,Wildflower,Infected
34,70,7/19/17,7/24/17,8/28/17,37,40,K-I,K-I,107,2.5,11,0,0,5,NA,Wildflower,Infected
35,62,7/19/17,7/24/17,8/28/17,37,40,50-U,50-U,0,2.6,11,0,0,5,NA,50% Sunflower,Uninfected
35,63,7/19/17,7/24/17,8/28/17,37,40,50-U,50-U,0,2.7,11,0,0,5,NA,50% Sunflower,Uninfected
35,64,7/19/17,7/24/17,8/28/17,37,40,50-U,50-U,0,2.7,11,0,0,5,NA,50% Sunflower,Uninfected
35,65,7/19/17,7/24/17,8/28/17,37,40,50-U,50-U,0,2.55,11,0,0,5,NA,50% Sunflower,Uninfected
35,66,7/19/17,7/24/17,8/28/17,37,40,50-U,50-U,0,2.25,11,0,0,5,NA,50% Sunflower,Uninfected
36,60,7/19/17,7/22/17,8/26/17,37,38,50-I,50-I,15,2.75,45,0,0,3,NA,50% Sunflower,Infected
36,61,7/19/17,7/22/17,8/26/17,37,38,50-I,50-I,0,2.7,45,0,0,3,NA,50% Sunflower,Infected
37,119,7/19/17,8/2/17,8/29/17,37,41,K-U,K-U,NA,NA,45,1,0,14,NA,Wildflower,Uninfected
37,120,7/19/17,8/2/17,9/1/17,37,44,K-U,K-U,NA,NA,45,1,0,14,NA,Wildflower,Uninfected
37,116,7/19/17,8/2/17,9/6/17,37,49,K-U,K-U,0,2.85,45,0,0,14,NA,Wildflower,Uninfected
37,117,7/19/17,8/2/17,9/6/17,37,49,K-U,K-U,0,2.7,45,0,0,14,NA,Wildflower,Uninfected
38,98,7/19/17,7/26/17,8/30/17,37,NA,K-I,K-I,25,2.15,45,0,0,7,NA,Wildflower,Infected
39,71,7/19/17,7/25/17,8/29/17,37,41,50-U,50-U,0,2.6,45,0,0,6,NA,50% Sunflower,Uninfected
39,72,7/19/17,7/25/17,8/29/17,37,41,50-U,50-U,0,2.65,45,0,0,6,NA,50% Sunflower,Uninfected
39,73,7/19/17,7/25/17,8/29/17,37,41,50-U,50-U,0,2.6,45,0,0,6,NA,50% Sunflower,Uninfected
40,56,7/19/17,8/4/17,8/26/17,37,38,50-I,50-I,0,2.6,45,0,0,16,NA,50% Sunflower,Infected
40,57,7/19/17,8/4/17,8/26/17,37,38,50-I,50-I,63,2.65,45,0,0,16,NA,50% Sunflower,Infected
40,58,7/19/17,8/4/17,8/26/17,37,38,50-I,50-I,0,2.7,45,0,0,16,NA,50% Sunflower,Infected
40,59,7/19/17,8/4/17,8/26/17,37,38,50-I,50-I,0,2.6,45,0,0,16,NA,50% Sunflower,Infected
41,124,8/1/17,8/8/17,9/6/17,37,36,K-I,K-I,12,2.9,10,0,0,7,NA,Wildflower,Infected
41,125,8/1/17,8/8/17,9/6/17,37,36,K-I,K-I,50,2.5,10,0,0,7,NA,Wildflower,Infected
41,126,8/1/17,8/8/17,9/6/17,37,36,K-I,K-I,29,2.9,10,0,0,7,NA,Wildflower,Infected
41,127,8/1/17,8/8/17,9/6/17,37,36,K-I,K-I,75,2.65,10,0,0,7,NA,Wildflower,Infected
43,118,8/1/17,8/2/17,9/6/17,37,36,50-I,50-I,7,2.9,10,0,0,1,NA,50% Sunflower,Infected
43,119,8/1/17,8/2/17,9/6/17,37,36,50-I,50-I,131,2.75,10,0,0,1,NA,50% Sunflower,Infected
43,120,8/1/17,8/2/17,9/6/17,37,36,50-I,50-I,1,3.4,10,0,0,1,NA,50% Sunflower,Infected
45,132,8/1/17,8/3/17,9/7/17,37,37,50-U,50-U,0,2.6,11,0,0,2,NA,50% Sunflower,Uninfected
45,133,8/1/17,8/3/17,9/7/17,37,37,50-U,50-U,0,2.7,11,0,0,2,NA,50% Sunflower,Uninfected
45,134,8/1/17,8/3/17,9/7/17,37,37,50-U,50-U,0,2.2,11,0,0,2,NA,50% Sunflower,Uninfected
45,135,8/1/17,8/3/17,9/7/17,37,37,50-U,50-U,0,2.1,11,0,0,2,NA,50% Sunflower,Uninfected
45,136,8/1/17,8/3/17,9/7/17,37,37,50-U,50-U,0,2.05,11,0,0,2,NA,50% Sunflower,Uninfected
46,128,8/1/17,8/8/17,9/6/17,37,36,50-I,50-I,0,2.7,11,0,0,7,NA,50% Sunflower,Infected
46,129,8/1/17,8/8/17,9/6/17,37,36,50-I,50-I,0,2.9,11,0,0,7,NA,50% Sunflower,Infected
46,130,8/1/17,8/8/17,9/6/17,37,36,50-I,50-I,0,2.75,11,0,0,7,NA,50% Sunflower,Infected
46,131,8/1/17,8/8/17,9/6/17,37,36,50-I,50-I,0,2.6,11,0,0,7,NA,50% Sunflower,Infected
1,138,6/26/17,7/5/17,7/25/17,29,29,K-U,K-U,NA,NA,11,1,1,9,NA,Wildflower,Uninfected
1,139,6/26/17,7/5/17,7/31/17,35,35,K-U,K-U,NA,NA,11,1,1,9,NA,Wildflower,Uninfected
2,20,6/26/17,7/6/17,7/13/17,17,17,K-I,K-I,NA,NA,11,1,1,10,NA,Wildflower,Infected
2,21,6/26/17,7/6/17,7/14/17,18,18,K-I,K-I,NA,NA,11,1,1,10,NA,Wildflower,Infected
2,22,6/26/17,7/6/17,7/22/17,26,26,K-I,K-I,NA,NA,11,1,1,10,NA,Wildflower,Infected
5,13,6/26/17,7/4/17,7/31/17,35,35,K-I,K-U,NA,NA,10,1,1,8,NA,Wildflower,Infected
9,24,6/26/17,7/6/17,7/6/17,10,10,K-U,K-U,NA,NA,9,1,1,10,NA,Wildflower,Uninfected
10,5,6/26/17,6/29/17,7/11/17,15,15,K-I,K-I,NA,NA,9,1,1,3,NA,Wildflower,Infected
11,17,6/26/17,7/4/17,7/26/17,30,30,50-U,50-U,NA,NA,9,1,1,8,NA,50% Sunflower,Uninfected
12,51,7/10/17,7/19/17,8/3/17,24,24,50-I,50-I,NA,NA,10,1,1,9,NA,50% Sunflower,Infected
14,42,7/10/17,7/18/17,7/22/17,12,12,K-I,K-I,NA,NA,10,1,1,8,NA,Wildflower,Infected
14,43,7/10/17,7/18/17,7/22/17,12,12,K-I,K-I,NA,NA,10,1,1,8,NA,Wildflower,Infected
16,101,7/10/17,7/26/17,7/29/17,19,19,50-I,50-I,NA,NA,10,1,1,16,NA,50% Sunflower,Infected
17,78,7/10/17,7/25/17,8/14/17,35,35,K-U,K-U,NA,NA,11,1,1,15,NA,Wildflower,Uninfected
20,40,7/10/17,7/18/17,7/27/17,17,17,50-I,50-I,NA,NA,11,1,1,8,NA,50% Sunflower,Infected
20,41,7/10/17,7/18/17,8/7/17,28,28,50-I,50-I,NA,NA,11,1,1,8,NA,50% Sunflower,Infected
20,42,7/10/17,7/18/17,8/11/17,32,32,50-I,50-I,NA,NA,11,1,1,8,NA,50% Sunflower,Infected
22,28,7/10/17,7/13/17,8/7/17,28,28,K-I,K-I,NA,NA,45,1,1,3,NA,Wildflower,Infected
24,38,7/10/17,7/18/17,7/12/17,2,2,50-I,50-I,NA,NA,45,1,1,8,NA,50% Sunflower,Infected
24,39,7/10/17,7/18/17,7/27/17,17,17,50-I,50-I,NA,NA,45,1,1,8,NA,50% Sunflower,Infected
24,40,7/10/17,7/18/17,8/2/17,23,23,50-I,50-I,NA,NA,45,1,1,8,NA,50% Sunflower,Infected
36,63,7/19/17,7/22/17,8/11/17,23,23,50-I,50-I,NA,NA,45,1,1,3,NA,50% Sunflower,Infected
36,64,7/19/17,7/22/17,8/24/17,36,36,50-I,50-I,NA,NA,45,1,1,3,NA,50% Sunflower,Infected
37,118,7/19/17,8/2/17,8/9/17,21,21,K-U,K-U,NA,NA,45,1,1,14,NA,Wildflower,Uninfected
38,100,7/19/17,7/26/17,8/17/17,29,29,K-I,K-I,NA,NA,45,1,1,7,NA,Wildflower,Infected
38,101,7/19/17,7/26/17,8/17/17,29,29,K-I,K-I,NA,NA,45,1,1,7,NA,Wildflower,Infected
38,102,7/19/17,7/26/17,8/24/17,36,36,K-I,K-I,NA,NA,45,1,1,7,NA,Wildflower,Infected
39,74,7/19/17,7/25/17,8/10/17,22,22,50-U,50-U,NA,NA,45,1,1,6,NA,50% Sunflower,Uninfected
39,75,7/19/17,7/25/17,8/24/17,36,36,50-U,50-U,NA,NA,45,1,1,6,original time for survival (39 d) was wrong; its actually 36,50% Sunflower,Uninfected
40,60,7/19/17,8/4/17,8/17/17,29,29,50-I,50-I,NA,NA,45,1,1,16,NA,50% Sunflower,Infected
41,128,8/1/17,8/8/17,8/26/17,25,25,K-I,K-I,NA,NA,10,1,1,7,NA,Wildflower,Infected
43,121,8/1/17,8/2/17,8/18/17,17,17,50-I,50-I,NA,NA,10,1,1,1,NA,50% Sunflower,Infected
43,122,8/1/17,8/2/17,8/19/17,18,18,50-I,50-I,NA,NA,10,1,1,1,NA,50% Sunflower,Infected
46,132,8/1/17,8/8/17,9/3/17,33,33,50-I,50-I,NA,NA,11,1,1,7,NA,50% Sunflower,Infected