Microcol. # ,Colony ID,Treatment,Start Date,First Eggs,Honeypot,Worker Death I,II,III,IV,Larvel Ejection Date(#),Dissect Date,Notes,DURATION,,,,
1,11,K-U,26-Jun,5-Jul,3-Jul,9-Jul,25-Jul,31-Jul,2-Aug,7/20 (1),9-Aug,7/9 escaped,44,,,,
2,11,K-I,26-Jun,6-Jul,3-Jul,13-Jul,14-Jul,22-Jul,,,10-Aug,,45,,,,
3,11,50-U,26-Jun,3-Jul,4-Jul,25-Jul,,,,,7-Aug,7/25 escaped,42,,,,
4,11,50-I,26-Jun,,7-Jul,27-Jul,3-Aug,3-Aug,9-Aug,all bees dead by 8/10,.,never laid,NA,,,,
5,10,K-U,26-Jun,4-Jul,,31-Jul,,,,,8-Aug,,43,,,,
6,10,K-I,26-Jun,.,6-Jul,12-Jul,25-Jul,FROZEN 7/26,,,#VALUE!,,NA,,,,
7,10,50-U,26-Jun,.,8-Jul,,Put bees back in colony #10 7/26,,,,#VALUE!,,NA,,,,
8,10,50-I,26-Jun,.,8-Jul,29-Jun,16-Jul,FROZEN 7/26,,,#VALUE!,,NA,,,,
9,9,K-U,26-Jun,6-Jul,30-Jun,6-Jul,,,,,10-Aug,,45,,,,
10,9,K-I,26-Jun,29-Jun,28-Jun,11-Jul,,,,,3-Aug,7/26 - added new clump of K pollen after all callows emerged.,38,,,,
11,9,50-U,26-Jun,4-Jul,11-Jul,26-Jul,,,,,8-Aug,,43,,,,
12,10,50-I,10-Jul,19-Jul,14-Aug,3-Aug,, ,,,23-Aug,,44,,,,
13,10,K-U,10-Jul,16-Jul,14-Jul,,,,,"8/15(1), 8/18(1)",20-Aug,,41,,,,
14,10,K-I,10-Jul,18-Jul,14-Jul,13-Jul,22-Jul,22-Jul,,,22-Aug,7/13 escaped. Bees keep escaping?,43,,,,
15,10,50-U,10-Jul,16-Jul,14-Jul,17-Aug,,,,8/14(1),20-Aug,,41,,,,
16,10,50-I,10-Jul,26-Jul,,29-Jul,18-Aug,23-Aug,,,30-Aug,,51,,,,
17,11,K-U,10-Jul,25-Jul,,14-Aug,,,,,29-Aug,,50,,,,
18,11,K-I,10-Jul,.,28-Jul,,FROZEN 8/1/17,,,,#VALUE!,,NA,,,,
19,11,50-U,10-Jul,.,,30-Jul,Put bees back in colony #11 8/1,,,,#VALUE!,,NA,,,,
20,11,50-I,10-Jul,18-Jul,13-Jul,27-Jul,7-Aug,11-Aug,,,22-Aug,,43,,,,
21,11,K-U,10-Jul,18-Jul,13-Jul,,,,,,22-Aug,,43,,,,
22,45,K-I,10-Jul,13-Jul,4-Aug,7-Aug,,,,,17-Aug,,38,,,,
23,45,50-U,10-Jul,13-Aug,18-Jul,10-Aug,1-Sep,,,,17-Sep,,69,,,,
24,45,50-I,10-Jul,18-Jul,18-Jul,12-Jul,27-Jul,2-Aug,12-Aug,,22-Aug,8/12 missing,43,,,,
25,45,K-U,10-Jul,26-Jul,,11-Jul,FROZEN 8/22 - no eggs,,,,30-Aug,7/11 escaped,NA,,,,
26,10,K-I,19-Jul,27-Jul,22-Jul,,,,,,31-Aug,,43,,,,
27,10,50-U,19-Jul,25-Jul,22-Jul,,,,,,29-Aug,,41,,,,
28,10,50-I,19-Jul,25-Jul,22-Jul,,,,,,29-Aug,,41,,,,
29,10,K-U,19-Jul,6-Aug,23-Jul,,,,,,10-Sep,,53,,,,
30,10,K-I,19-Jul,25-Jul,21-Jul,,,,,"8/18(2), 8/19(1), 8/25(1)",29-Aug,,41,,,,
31,11,50-U,19-Jul,22-Jul,22-Jul,,,,,,26-Aug,,38,,,,
32,11,50-I,19-Jul,9-Aug,24-Jul,,,,,,13-Sep,,56,,,,
33,11,K-U,19-Jul,26-Jul,22-Jul,14-Aug,,,,,30-Aug,8/14 missing,42,,,,
34,11,K-I,19-Jul,24-Jul,23-Jul,4-Aug,,,,,28-Aug,8/4 missing,40,,,,
35,11,50-U,19-Jul,24-Jul,20-Jul,,,,,,28-Aug,,40,,,,
36,45,50-I,19-Jul,.,21-Aug,1-Aug,11-Aug,24-Aug,,,26-Aug,8/1 escaped,38,,,,
37,45,K-U,19-Jul,2-Aug,22-Jul,9-Aug,28-Aug,29-Aug,1-Sep,"9/1(2), 9/2(1)",6-Sep,8/28 escaped,49,,,,
38,45,K-I,19-Jul,26-Jul,23-Jul,14-Aug,17-Aug,17-Aug,24-Aug,8/14(1),30-Aug,8/14 missing,42,,,,
39,45,50-U,19-Jul,25-Jul,24-Jul,10-Aug,24-Aug,,,8/29(3),29-Aug,,41,,,,
40,45,50-I,19-Jul,4-Aug,21-Jul,17-Aug,,,,,8-Sep,destroyed all initial pollen.,51,,,,
41,10,K-I,1-Aug,8-Aug,,26-Aug,,,,,12-Sep,,42,,,,
42,10,50-U,1-Aug,28-Aug,,,,,,,2-Oct,pollen added 8/21,NA,,,,
43,10,50-I,1-Aug,2-Aug,8-Aug,18-Aug,19-Aug,,,,6-Sep,pollen added 8/21,36,,,,
44,11,K-I,1-Aug,23-Aug,,18-Aug,18-Aug,14-Sep,18-Sep,,27-Sep,1 escaped 8/18,NA,,,,
45,11,50-U,1-Aug,3-Aug,15-Aug,,,,,,7-Sep,pollen added 8/21,37,,,,
46,11,50-I,1-Aug,8-Aug,10-Aug,3-Sep,,,,,12-Sep,pollen added 8/21,42,,,,
47,10,K-U,20-Aug,31-Aug,,15-Sep,20-Sep,,,,5-Oct,,NA,,,,
48,10,K-I,20-Aug,31-Aug,28-Aug,25-Aug,20-Sep,,,,5-Oct,,NA,,,,
49,10,50-U,20-Aug,.,29-Aug,2-Sep,18-Sep,,,,#VALUE!,,NA,,,,
50,11,50-I,20-Aug,.,,29-Aug,3-Sep,9-Sep,23-Sep,,#VALUE!,escape 9/23,NA,,,,
51,11,K-U,20-Aug,.,,12-Sep,,,,,#VALUE!,,NA,,,,
52,45,K-I,20-Aug,.,28-Aug,22-Aug,29-Aug,1-Sep,3-Sep,last dead 9/6,#VALUE!,frozen 9/6,NA,,,,
53,45,50-U,20-Aug,.,,29-Aug,3-Sep,6-Sep,7-Sep,last dead 9/7,#VALUE!,frozen 9/7,NA,,,,
54,45,50-I,20-Aug,26-Aug,,26-Aug,29-Aug,31-Aug,1-Sep,,30-Sep,,NA,,,,
55,45,K-U,20-Aug,28-Aug,23-Aug,25-Aug,1-Sep,3-Sep,7-Sep,last dead 9/8,2-Oct,frozen 9/8,NA,,,,
56,45,K-I,20-Aug,.,,26-Aug,3-Sep,6-Sep,10-Sep,,#VALUE!,,NA,,,,
57,45,50-U,20-Aug,28-Aug,31-Aug,25-Aug,31-Aug,1-Sep,2-Sep,last dead 9/4,2-Oct,frozen 9/4,NA,,,,
58,45,50-I,20-Aug,.,,27-Aug,27-Aug,7-Sep,11-Sep,,#VALUE!,frozen 9/25,NA,,,,
59,45,K-U,20-Aug,28-Aug,24-Aug,29-Aug,2-Sep,5-Sep,12-Sep,last dead 9/15,2-Oct,frozen 9/15,NA,,,,
60,45,K-I,20-Aug,31-Aug,26-Aug,31-Aug,1-Sep,7-Sep,,,5-Oct,,NA,,,,
61,45,50-U,20-Aug,30-Aug,26-Aug,26-Aug,29-Aug,3-Sep,4-Sep,last dead 9/7,4-Oct,frozen 9/7,NA,,,,
62,45,50-I,20-Aug,31-Aug,25-Aug,25-Aug,2-Sep,4-Sep,14-Sep,last dead 9/19,5-Oct,frozen 9/19,NA,,,,
63,45,K-I,28-Aug,31-Aug,31-Aug,30-Aug,14-Sep,15-Sep,4-Oct,,5-Oct,,NA,,,,
64,45,50-I,28-Aug,31-Aug,8-Sep,31-Aug,6-Sep,13-Sep,,,5-Oct,,NA,,,,
Highlighted in orange means frozen 9/25 because eggs were never laid,,,,,,,,,,,,,,,,,