Treatment,New Pollen,Net Evap,weight_lost
50/50,419.1,16.3,0.038892866
K100,449.6,25.1,0.055827402
50/50,388.5,21.1,0.054311454
K100,383.8,34,0.088587806
50/50,422.2,18.8,0.044528659
K100,408.2,11.9,0.029152376
50/50,427.2,13.7,0.032069288
K100,437.9,17.6,0.040191825
50/50,435.5,16.4,0.037657865
K100,442.5,22.6,0.051073446
50/50,447.4,11.8,0.026374609
K100,415.2,21.3,0.051300578
50/50,419.3,11.7,0.027903649
K100,440.1,14.2,0.032265394
K100,449.4,20.4,0.045393858
50/50,410.6,14.5,0.035314174
K100,430.2,16.5,0.038354254
50/50,426.4,13.3,0.03119137