Bee ID,Colony ID,Species,Crithidia Strain,Caste,Diet,Inoc. Date,MCL-MM,Dissect Date,Count,Notes
98,178,B. vagans,Graves-VW,Worker,SF,7/13/18,NA,dead 7/15,NA,
99,178,B. vagans,Graves-VW,Worker,WF,7/13/18,2.535,7/20/18,51,
100,178,B. vagans,Graves-VW,Worker,SF,7/13/18,NA,7/20/18,10,
101,178,B. vagans,Graves-VW,Worker,WF,7/13/18,2.405,7/20/18,6,
102,178,B. vagans,Graves-VW,Worker,SF,7/13/18,2.535,7/20/18,55,
103,178,B. vagans,Graves-VW,Worker,WF,7/13/18,2.405,7/20/18,4,
104,178,B. vagans,Graves-VW,Worker,SF,7/13/18,NA,NA,NA,escaped 7/15
105,178,B. vagans,Graves-VW,Worker,WF,7/13/18,2.405,7/20/18,83,
106,178,B. vagans,Graves-VW,Worker,SF,7/13/18,2.665,7/20/18,61,
107,178,B. vagans,Graves-VW,Worker,WF,7/13/18,2.405,7/20/18,54,
108,178,B. vagans,Graves-VW,Worker,SF,7/13/18,2.405,7/20/18,5,May have gotten extra inoculum
109,178,B. vagans,Graves-VW,Worker,WF,7/13/18,2.6,7/20/18,17,
110,178,B. vagans,Graves-VW,Worker,SF,7/13/18,2.47,7/20/18,2,
111,178,B. vagans,Graves-VW,Worker,WF,7/13/18,2.405,7/20/18,7,
112,178,B. vagans,Graves-VW,Worker,SF,7/13/18,2.535,7/20/18,1,May not have finished drop
113,178,B. vagans,Graves-VW,Worker,WF,7/13/18,2.535,7/20/18,113,
114,178,B. vagans,Graves-VW,Worker,SF,7/13/18,2.535,7/20/18,0,
115,178,B. vagans,Graves-VW,Worker,WF,7/13/18,2.405,7/20/18,39,
116,178,B. vagans,Graves-VW,Worker,SF,7/13/18,2.47,7/20/18,0,
117,178,B. vagans,Graves-VW,Worker,WF,7/13/18,2.47,7/20/18,1,
136,178,B. vagans,Graves-VW,Worker,SF,7/20/18,2.665,7/27/18,51,
137,178,B. vagans,Graves-VW,Worker,WF,7/20/18,2.535,7/27/18,25,
138,178,B. vagans,Graves-VW,Worker,SF,7/20/18,2.665,7/27/18,0,
139,178,B. vagans,Graves-VW,Worker,WF,7/20/18,2.535,7/27/18,22,
140,178,B. vagans,Graves-VW,Worker,SF,7/20/18,2.6,7/27/18,29,
141,178,B. vagans,Graves-VW,Worker,WF,7/20/18,2.275,7/27/18,73,
142,178,B. vagans,Graves-VW,Worker,SF,7/20/18,2.665,7/27/18,0,
143,178,B. vagans,Graves-VW,Worker,WF,7/20/18,2.145,7/27/18,0,
144,178,B. vagans,Graves-VW,Worker,SF,7/20/18,2.47,7/27/18,1,
145,178,B. vagans,Graves-VW,Worker,WF,7/20/18,2.34,7/27/18,29,
146,178,B. vagans,Graves-VW,Worker,SF,7/20/18,2.535,7/27/18,0,
147,178,B. vagans,Graves-VW,Worker,WF,7/20/18,2.795,7/27/18,2,
148,178,B. vagans,Graves-VW,Worker,SF,7/20/18,2.34,7/27/18,0,
149,178,B. vagans,Graves-VW,Worker,WF,7/20/18,2.665,7/27/18,11,
150,178,B. vagans,Graves-VW,Worker,SF,7/20/18,2.6,7/27/18,5,
151,178,B. vagans,Graves-VW,Worker,WF,7/20/18,2.47,7/27/18,33,
154,178,B. vagans,Graves-VW,Worker,SF,8/1/18,2.665,8/8/18,53,
155,178,B. vagans,Graves-VW,Worker,WF,8/1/18,NA,8/8/18,118,both wings deformed
156,178,B. vagans,Graves-VW,Worker,SF,8/1/18,2.535,8/8/18,18,
157,178,B. vagans,Graves-VW,Worker,WF,8/1/18,2.535,8/8/18,48,
158,178,B. vagans,Graves-VW,Worker,SF,8/1/18,2.275,8/8/18,39,
159,178,B. vagans,Graves-VW,Worker,WF,8/1/18,2.145,8/8/18,60,
160,178,B. vagans,Graves-VW,Worker,SF,8/1/18,2.47,8/8/18,86,
161,178,B. vagans,Graves-VW,Worker,WF,8/1/18,2.73,8/8/18,67,
162,178,B. vagans,Graves-VW,Worker,SF,8/1/18,NA,NA,NA,escaped 8/3
163,178,B. vagans,Graves-VW,Worker,WF,8/1/18,2.145,8/8/18,83,
164,178,B. vagans,Graves-VW,Worker,SF,8/1/18,2.535,8/8/18,112,
165,178,B. vagans,Graves-VW,Worker,WF,8/1/18,2.535,8/8/18,23,
166,178,B. vagans,Graves-VW,Worker,SF,8/1/18,2.21,8/8/18,142,