Species,Diet,Probability,UL,LL,Prob.1,UL.1,LL.1
B. impatiens (2016; Commercial),100% Sunflower,0.778,0.421,0.944,0.222,0.579,0.056
B. impatiens (2016; Commercial),Control,0.125,0.017,0.537,0.875,0.983,0.463
B. impatiens (2016; Wild),100% Sunflower,NA,NA,NA,1,1,1
B. impatiens (2016; Wild),Control,NA,NA,NA,1,1,1
B. impatiens (2020),100% Sunflower,0.555,0.3691,0.728,0.4444444,0.6308724,0.2724459
B. impatiens (2020),50% Sunflower,0.357,0.2041,0.5462,0.6428571,0.7958931,0.45382
B. impatiens (2020),Control,0.074,0.0186,0.2525,0.9259259,0.9814038,0.7475202
B. griseocollis (2016),100% Sunflower,NA,NA,NA,1,1,1
B. griseocollis (2016),Control,NA,NA,NA,1,1,1
B. griseocollis (2017),100% Sunflower,NA,NA,NA,0.9108061,0.9108061,0.1918838
B. griseocollis (2017),50% Sunflower,NA,NA,NA,0.8031981,0.8031981,0.1017095
B. griseocollis (2017),Control,NA,NA,NA,0.9839147,0.9839147,0.5498891
B. bimaculatus (2017),100% Sunflower,NA,NA,NA,0.8888889,0.9846071,0.5001369
B. bimaculatus (2017),50% Sunflower,NA,NA,NA,0.8333333,0.9580189,0.5227913
B. bimaculatus (2017),Control,NA,NA,NA,0.9090909,0.987361,0.5614182
B. bimaculatus (2018),100% Sunflower,NA,NA,NA,0.7155839,0.8288169,0.5666156
B. bimaculatus (2018),Control,NA,NA,NA,0.8808518,0.9461451,0.7567493
B. vagans (2018),100% Sunflower,0.3,0.1414037,0.527244,0.7,0.8585963,0.472756
B. vagans (2018),Control,0.04,0.0058395,0.2434714,0.9583333,0.9941605,0.7565286